Producers,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,Fiction,Foreign,History,Horror,Music,Mystery,Romance,Science,Thriller,War,Western
Ambush Entertainment,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Amen Ra Films,5,3,0,0,1,0,1,0,1,1,0,0,3,0,0,0,1,3,0,0
Amercent Films,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
American Empirical Pictures,0,2,1,4,0,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0
American Entertainment Partners II L.P.,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0
American Entertainment Partners L.P.,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,2,0,0
American Film Company,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
American Films,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
American Filmworks,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
American Work,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
American Zoetrope,0,1,0,2,1,0,7,0,1,0,0,1,3,0,0,4,0,2,0,0
Amusement Park Films,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Amy Robinson Productions,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
An Olive Branch Productions,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Anagram Pictures Inc.,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
Anarchos Productions,4,1,0,0,1,0,1,1,2,3,0,0,0,0,0,0,3,2,0,0
Anchor Bay Films,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Ancine,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0
Andalasia Productions,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
Andale Pictures,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0
Andell Entertainment,2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Andrea Sperling Productions,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Andreevsky Flag Film Company,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Andrew Lauren Productions (ALP),0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Angel City Pictures,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Angel Eyes Productions,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
Angel films,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Angry Films,2,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,2,1,0,0
Animal Kingdom,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Animal Logic,0,3,4,2,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0
Animationwerks,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
Anka Film,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Annapurna Pictures,2,2,1,2,2,0,6,0,1,2,0,2,0,0,0,1,2,3,0,0
Anonymous Content,1,2,0,4,0,0,11,0,0,2,0,1,1,0,1,5,2,6,0,1
Antena 3 Films,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
Antena 3 Televisión,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0
Antidote Films (I),0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Antietam Filmworks,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
Anton Capital Entertainment (ACE),2,0,0,1,2,0,2,1,0,0,0,0,0,1,1,0,0,2,0,0
Anvil Films,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Apaches Entertainment,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Apatow Productions,1,1,0,19,0,0,4,0,0,0,0,0,0,2,0,5,0,0,0,0
Aperture Entertainment,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Apipoulaï,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Apjac International,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
ApolloMedia Distribution,3,3,0,0,0,0,2,0,0,1,0,0,1,0,0,0,1,3,0,0
ApolloProScreen Filmproduktion,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Apostle Productions,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Apotheosis Media Group,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
