Index,Actors,Number of movies,Number of awards,Genres
5188,Ti Lung,125,10,Action Adventure Fantasy Thriller Western 
5189,Ralph Ineson,125,5,Horror Mystery 
5190,George Segal,125,1,Comedy Drama Thriller 
5191,Henry Fonda,125,1,Drama Western 
5192,Ken Davitian,125,3,Comedy 
5193,R. Lee-Ermey,125,1,Action Adventure Drama Mystery Romance Thriller 
5194,Van Johnson,125,1,Drama Romance War 
5195,Basil Rathbone,125,2,Comedy Music 
5196,William Devane,125,1,Comedy Crime Thriller 
5197,Nina Petri,125,5,Action Drama Thriller 
5198,Claire Bloom,126,1,Drama Fiction Romance Science 
5199,Wil Wheaton,126,11,Crime Drama 
5200,Morgan Freeman,126,1,Action Adventure Comedy Crime Documentary Drama Family Fiction History Horror Mystery Romance Science Thriller War Western 
5201,Joan Collins,126,1,Comedy Family Fiction Romance Science 
5202,Colm Meaney,126,1,Animation Comedy Crime Drama Family Thriller 
5203,Sylvia Syms,126,3,Drama 
5204,Neal McDonough,126,11,Action Adventure Comedy Drama Family Fiction Science Thriller 
5205,Billie Whitelaw,126,1,Crime Drama Horror Mystery Thriller 
5206,Paul Winfield,126,1,Action Adventure Fiction Science Thriller 
5207,Waldemar Kobus,126,1,Drama Thriller War 
5208,McDonough,126,11,Action Adventure Comedy Drama Family Fiction Science Thriller 
5209,Bruce Campbell,126,18,Adventure Animation Comedy Family Fantasy Horror Romance 
5210,Claudia Cardinale,126,40,Western 
5211,Bruce Boxleitner,126,8,Action Adventure Fiction Science 
5212,Roscoe Lee-Browne,126,1,Action Adventure Fiction Romance Science 
5213,Jesper Christensen,126,29,Crime Thriller 
5214,Jack Palance,126,1,Action Adventure Comedy 
5215,Nick Offerman,127,1,Action Adventure Animation Comedy Crime Family Fantasy 
5216,Jason London,127,7,Comedy Drama Fiction Horror Science Thriller 
5217,Jeff Goldblum,127,1,Action Adventure Comedy Drama Family Fiction Romance Science Thriller 
5218,Michael Rooker,127,11,Action Adventure Crime Drama Fantasy Fiction History Mystery Science Thriller 
5219,Eileen Brennan,127,1,Horror Thriller 
5220,Stephen Lang,127,16,Action Adventure Drama Fantasy Fiction History Science Thriller War 
5221,Forest Whitaker,127,1,Action Comedy Crime Drama Fantasy Fiction Horror Music Romance Science Thriller War 
5222,Christian Slater,127,1,Action Adventure Comedy Crime Drama Fantasy Horror Romance Thriller 
5223,Dom DeLuise,127,1,Comedy Family Fiction Science 
5224,Bill Moseley,127,5,Horror Thriller 
5225,Henry Winkler,127,2,Comedy Drama Fantasy Romance 
5226,Beyonc\u00e9 Knowles,127,3,Comedy Crime Drama Fiction Science 
5227,Ramon Bieri,127,0,Action Adventure Thriller 
5228,Nick Searcy,127,7,Comedy Romance 
5229,Jill Talley,127,3,Comedy 
5230,David Tennant,127,57,Comedy Horror 
5231,Anna Massey,127,4,Crime Drama Mystery Thriller 
5232,Ken Sansom,127,0,Animation Family 
5233,Patric Knowles,127,1,Action Adventure Drama War 
5234,Ben Stiller,128,1,Action Adventure Animation Comedy Crime Drama Family Fantasy Fiction Mystery Romance Science Thriller 
5235,Charlotte Rampling,128,1,Action Adventure Crime Documentary Drama Fiction Mystery Science Thriller 
5236,James Rebhorn,128,2,Drama Fiction Mystery Science Thriller 
5237,Will Sasso,128,1,Action Adventure Comedy Drama Fiction Science 
5238,Judi Dench,128,1,Action Adventure Animation Comedy Crime Drama Family History Music Romance Thriller War 
5239,Pedro Armendáriz,128,7,Action Adventure Thriller 
5240,Tony Amendola,128,1,Horror 
5241,Scatman Crothers,128,4,Drama Horror Thriller 
5242,Rob Riggle,128,1,Comedy 
5243,Naomi Nishida,128,5,Action Adventure Fiction Horror Science 
5244,Walt Disney,128,22,Animation Family Music 
5245,Charlton Heston,129,1,Action Adventure Documentary Drama Fiction History Mystery Romance Science 
5246,Julio Oscar,129,0,Action Adventure 
5247,Lesley Ann-Warren,129,1,Action Comedy Crime Drama Mystery Romance Thriller 
5248,James Faulkner,129,1,Crime Drama Thriller 
5249,Orson Welles,129,1,Action Drama History 
5250,Bill Fagerbakke,129,4,Adventure Animation Comedy Family 
5251,Zarina Wahab,129,3,Drama Romance 
5252,George Cole,129,2,Drama Horror Romance Thriller 
5253,Michael Nouri,129,3,Drama Music Romance 
5254,James Le-Gros,129,4,Action Fiction Horror Science Thriller 
5255,Brock Peters,129,4,Crime Drama 
5256,Ving Rhames,130,1,Action Adventure Animation Comedy Crime Drama Fantasy Fiction Horror Mystery Romance Science Thriller 
5257,Corey Feldman,130,11,Comedy Crime Drama Horror Thriller 
5258,Martina Gedeck,130,40,Drama Thriller 
5259,Lew Temple,130,1,Drama Fiction Mystery Science 
5260,Ryan Robbins,130,20,Fiction Horror Science Thriller 
5261,Shad Moss,130,5,Action Comedy Crime Drama Family Thriller 
5262,Dennis Haysbert,130,1,Adventure Animation Drama Family Fiction Mystery Romance Science Thriller 
5263,Cheech Marin,130,24,Action Comedy Crime Drama Family Romance Thriller 
5264,Mariah Carey,130,1,Drama Romance 
5265,Guy Boyd,130,3,Crime Horror Mystery Thriller 
5266,Telly Savalas,130,1,Action Adventure Thriller 
5267,Michael Bowen,130,2,Action Crime Drama Horror Thriller 
5268,Peter Outerbridge,130,16,Horror Mystery 
5269,Chill Wills,130,1,Western 
5270,Chris Brown,130,56,Action Crime Drama Music Thriller 
5271,William Sanderson,130,3,Drama Music 
5272,Liam Neeson,131,1,Action Adventure Animation Comedy Crime Drama Family Fantasy Fiction History Horror Mystery Romance Science Thriller War 
5273,Paul Freeman,131,2,Action Adventure Crime 
5274,David Cross,131,1,Action Adventure Animation Comedy Drama Family Fantasy Fiction Music Romance Science 
5275,Helen Mirren,131,1,Action Adventure Animation Comedy Crime Drama Family Fantasy Mystery Thriller 
5276,Jason Flemyng,131,5,Action Adventure Comedy Crime Drama Fantasy Fiction Music Science Thriller 
5277,Thomas Thieme,131,3,Drama Thriller 
5278,Tony Curtis,131,1,Comedy Drama Romance 
5279,Jack Carson,131,3,Drama Romance 
5280,Carlo Rota,131,6,Action Crime Drama 
5281,Jackie Cooper,131,1,Action Adventure Comedy Fantasy Fiction Science 
5282,Simon Callow,131,2,Adventure Comedy Crime Drama History Music Romance 
5283,Jason Robards,131,2,Action Adventure Comedy Drama Romance Western 
5284,Peter Cushing,131,5,Action Adventure Fiction Science 
5285,DeForest Kelley,131,3,Action Adventure Fiction Mystery Science Thriller 
5286,Hiroshi Abe,131,6,Action Adventure Fiction Horror Science 
5287,David Wayne,131,1,Fiction Science Thriller 
5288,Sean Bean,132,27,Action Adventure Crime Drama Family Fantasy Fiction Horror Mystery Science Thriller War 
5289,Stanley Tucci,132,1,Action Adventure Comedy Crime Drama Family Fantasy Fiction Romance Science Thriller 
5290,John Glover,132,5,Comedy Fantasy Horror 
5291,Richard E.-Grant,132,1,Action Adventure Comedy Family Horror Romance 
5292,Stephen Rea,132,1,Action Adventure Crime Drama Fantasy Horror Romance Thriller 
5293,Callum Keith-Rennie,132,22,Action Adventure Comedy Crime Drama Family Horror Mystery Thriller 
5294,Fred Williamson,132,3,Comedy Crime 
5295,Tom Wilkinson,132,2,Action Adventure Comedy Crime Drama History Horror Mystery Romance Thriller 
5296,Steve Whitmire,132,2,Adventure Comedy Crime Family Fantasy Fiction Science 
5297,Daniel Baldwin,132,18,Action Drama Thriller 
5298,Ben Gazzara,132,3,Action Crime Drama History Mystery Romance Thriller War 
5299,Gerard Plunkett,132,2,Adventure Drama Family 
5300,Costas Mandylor,132,3,Crime Horror Mystery Thriller 
5301,Miyu Irino,132,0,Adventure Animation Family Fantasy 
5302,Beau Starr,132,1,Horror Thriller 
5303,Sean Whalen,132,1,Drama Music 
5304,Sam Neill,133,3,Action Adventure Comedy Drama Fantasy Fiction Horror Mystery Romance Science Thriller 
5305,Willem Dafoe,133,4,Action Adventure Animation Comedy Crime Drama Family Fantasy Fiction Horror Mystery Romance Science Thriller War 
5306,Thomas Kretschmann,133,10,Action Adventure Crime Drama Fiction Horror Mystery Science Thriller War 
5307,Allison Janney,133,1,Adventure Animation Comedy Drama Family Romance 
5308,James Caan,133,1,Action Animation Comedy Crime Drama Family Fantasy History Mystery Thriller War 
5309,Jacques Perrin,133,2,Documentary 
5310,Casper Van-Dien,133,6,Action Adventure Fiction Science Thriller 
5311,Richard Tyson,133,0,Comedy 
5312,William B.-Davis,133,6,Fiction Mystery Science Thriller 
5313,Joseph Cotten,133,2,Action Adventure Crime Drama History Thriller War Western 
5314,Dean Jagger,133,1,Drama 
5315,Octavia Spencer,134,1,Drama 
5316,Edward Herrmann,134,1,Comedy Crime Drama History Romance 
5317,Joe Morton,134,1,Action Adventure Crime Drama Fiction Mystery Romance Science Thriller 
5318,Tony Leung-Ka-Fai,134,55,Action Drama History 
5319,Ashley Johnson,134,31,Animation Comedy Family Fiction Science 
5320,Harris Yulin,134,1,Action Crime Drama Mystery Romance Thriller 
5321,Thomas Kopache,134,0,Horror 
5322,Fionnula Flanagan,134,1,Comedy 
5323,Melissa Leo,135,1,Action Adventure Comedy Crime Drama Horror Mystery Thriller Western 
5324,Robert Joy,135,8,Horror 
5325,Leonard Nimoy,135,4,Action Adventure Fiction Mystery Science Thriller 
5326,David Arquette,135,13,Action Adventure Comedy Crime Drama Family Fiction Horror Mystery Science 
5327,Hal Holbrook,135,1,Comedy Drama Fantasy Horror Romance 
5328,Ian McNeice,135,0,Adventure Comedy Crime Drama Horror Thriller 
5329,John Ritter,135,1,Comedy Crime Drama Romance 
5330,Kane Hodder,135,4,Fantasy Fiction Horror Science Thriller 
5331,Charles Gray,135,0,Action Adventure Thriller 
5332,Alyson Stoner,135,16,Drama Romance 
5333,Robert Carradine,135,3,Comedy Family History Western 
5334,Paul Lukas,135,1,Adventure Drama Fiction Science 
5335,Ray Winstone,136,2,Action Adventure Animation Crime Drama Family Mystery Thriller 
5336,Catherine Deneuve,136,1,Action Adventure Crime Drama Music 
5337,John Hawkes,136,1,Adventure Comedy Drama Mystery Romance Thriller 
5338,Heino Ferch,136,21,Action Adventure Drama Thriller 
5339,Mark Moses,136,6,Comedy Crime 
5340,Judy Greer,136,12,Comedy Drama Fantasy Horror Romance 
5341,Danny DeVito,136,1,Action Adventure Comedy Crime Drama Fantasy Fiction Mystery Romance Science Thriller War 
5342,Frank Oz,136,1,Comedy Family Fantasy Fiction Science 
5343,Louise Fletcher,136,1,Drama Fantasy Horror Romance Thriller 
5344,Mary Kay-Place,136,1,Adventure Crime Drama Family Fantasy Thriller 
5345,Mitchell Ryan,136,0,Horror Thriller Western 
5346,Warren Clarke,136,0,Action Adventure Fiction Science Thriller 
5347,Kevin Sorbo,136,7,Comedy 
5348,Dan O'Herlihy,136,1,Fiction Horror Mystery Science 
5349,David Strathairn,137,1,Action Drama Fantasy History Mystery Romance Thriller 
5350,Thomas F.-Wilson,137,2,Action Adventure Comedy Crime Drama Family Fiction Science 
5351,Dylan Baker,137,3,Action Comedy Crime Drama Horror Mystery Romance Thriller 
5352,Anil Kapoor,137,38,Action Adventure Drama Romance Thriller 
5353,Kim Coates,137,8,Action Adventure Fiction Horror Mystery Science War 
5354,Victor Garber,137,6,Action Comedy Crime Drama Mystery Thriller 
5355,Christopher Walken,137,1,Action Adventure Comedy Crime Drama Family Fantasy Fiction History Horror Music Romance Science Thriller War Western 
5356,John Gielgud,137,1,Adventure Drama History Mystery Thriller 
5357,Margot Kidder,137,15,Action Adventure Fantasy Fiction Science 
5358,Jeffrey Combs,137,9,Action Fiction Science Thriller 
5359,Bob Joles,137,2,Adventure Animation Family 
5360,Cary-Hiroyuki Tagawa,137,1,Action Comedy Drama Family Fantasy Thriller War 
5361,Shigeru K\u00f4yama,137,0,Action Crime Thriller 
5362,Peter Graves,137,1,Comedy 
5363,James Duval,138,4,Drama Horror Romance Thriller 
5364,William H.-Macy,138,1,Action Adventure Comedy Crime Drama Family Fantasy Fiction Mystery Romance Science Thriller 
5365,James Brolin,138,2,Comedy Drama History Romance 
5366,Anthony Hopkins,138,1,Action Adventure Animation Comedy Crime Drama Fantasy History Horror Mystery Romance Thriller War 
5367,Robert Knepper,138,3,Action Crime Drama Thriller 
5368,Wendy Crewson,138,20,Action Comedy Drama Family Fantasy Thriller 
5369,Bob Gunton,138,2,Action Adventure Comedy Crime Drama Thriller 
5370,Philip Granger,138,4,Comedy Horror 
5371,Jean-Pierre Marielle,138,13,Action Comedy Crime 
5372,Richard Gant,138,0,Comedy Family Fantasy Fiction Romance Science 
5373,Walter Pidgeon,138,2,Drama 
5374,Liz Smith,139,1,Adventure Animation Comedy Family 
5375,Lois Smith,139,20,Action Fiction Mystery Science Thriller 
5376,Sharon Stone,139,1,Action Adventure Comedy Crime Drama Fiction Mystery Science Thriller Western 
5377,CCH Pounder,139,4,Action Fantasy Horror Mystery Thriller 
5378,Joaquim de-Almeida,139,19,Action Crime Drama Thriller 
5379,Fritz Weaver,139,1,Comedy Fantasy Horror 
5380,Claude Dauphin,139,0,Fiction Science 
5381,George Sanders,139,1,Drama History Mystery Romance War 
5382,Larry Miller,139,5,Comedy Family Fantasy Fiction Romance Science 
5383,Keith Carradine,139,1,History Western 
5384,Dan Hedaya,140,1,Action Adventure Comedy Crime Drama Mystery Thriller 
5385,Gina Gershon,140,9,Action Crime Drama Fiction Romance Science Thriller 
5386,Ian Holm,140,1,Action Adventure Animation Comedy Drama Family Fantasy Fiction Horror Mystery Romance Science Thriller 
5387,Ian McShane,140,1,Action Adventure Comedy Drama Family Fantasy Fiction Horror Mystery Science Thriller 
5388,Bradford Dillman,140,1,Action Fiction Science 
5389,Armin Mueller-Stahl,140,1,Crime Drama Fiction Mystery Science Thriller 
5390,Arthur O'Connell,140,2,Comedy Drama 
5391,Marshall Bell,140,0,Adventure Drama War 
5392,James Gammon,140,1,Comedy 
5393,Robin Thomas,140,1,Adventure Family Fiction Science Thriller 
5394,Jackie Chan,141,92,Action Adventure Animation Comedy Crime Drama Family Fantasy History Thriller War Western 
5395,Matthew Lillard,141,14,Action Adventure Comedy Crime Drama Horror Mystery Romance Thriller 
5396,Patrick Chesnais,141,5,Drama 
5397,Andrew Airlie,141,2,Fiction Horror Science Thriller 
5398,Brett Cullen,141,3,Drama Horror Thriller 
5399,Donald Woods,141,1,Adventure Fiction Horror Science 
5400,Isabelle Huppert,141,1,Action Drama History Romance Western 
5401,Alfred Abel,141,0,Drama Fiction Science 
5402,Myrna Loy,141,4,Drama History Romance 
5403,Tatsuya Mihashi,141,5,Action Adventure Drama History War 
5404,Stella Stevens,141,1,Action Comedy Western 
5405,Kim Hunter,142,1,Action Adventure Drama Fiction Mystery Science 
5406,Alec Baldwin,142,1,Action Adventure Animation Comedy Crime Drama Family Fantasy Fiction Music Mystery Romance Science Thriller 
5407,Todd Susman,142,0,Action 
5408,Phyllida Law,142,1,Action Adventure Fiction Science 
5409,Jean-Louis Trintignant,142,26,Drama Romance 
5410,Toby Huss,142,0,Adventure Drama War 
5411,Masahiko Nishimura,142,10,Adventure Animation Fantasy 
5412,Gilbert Roland,142,2,Comedy 
5413,Claudia Christian,142,4,Adventure Animation Family Fiction Science 
5414,Robert Duvall,143,1,Action Adventure Comedy Crime Drama Family Fantasy Fiction History Music Romance Science Thriller War Western 
5415,Jon Gries,143,5,Comedy 
5416,Frank Finlay,143,1,Drama History War 
5417,Julian Sands,143,2,Comedy Drama Horror Romance 
5418,Ben Kingsley,143,1,Action Adventure Animation Comedy Crime Drama Family Fantasy Fiction History Horror Mystery Romance Science Thriller War 
5419,James Woods,143,2,Action Animation Comedy Crime Drama Family Fiction Horror Mystery Romance Science Thriller 
5420,Patricia Belcher,143,1,Horror Thriller 
5421,Bill Paterson,143,3,Drama Family Romance 
5422,Donald Sumpter,143,1,Drama Mystery Thriller 
5423,Jason Alexander,143,4,Action Adventure Animation Comedy Drama Family Romance 
5424,Glenn Plummer,143,3,Action Crime Drama Horror 
5425,David Calder,143,0,Crime Drama Fantasy 
5426,John Michael-Higgins,143,1,Comedy Drama Family Fantasy Music 
5427,Vanessa Redgrave,143,1,Action Crime Drama History Mystery Romance Thriller 
5428,Jay O.-Sanders,143,0,Action Adventure Fiction Science Thriller 
5429,Timothy Spall,144,2,Animation Comedy Crime Drama Family Fantasy History Romance Western 
5430,Lou Diamond-Phillips,144,1,Action Adventure Comedy Crime Drama Fiction History Horror Music Mystery Science Thriller War Western 
5431,Stellan Skarsg\u00e5rd,144,1,Action Adventure Comedy Crime Drama Family Fantasy History Horror Mystery Romance Thriller 
5432,Enrique Villén,144,4,Drama 
5433,Armin Rohde,144,10,Action Adventure Drama Fiction Science Thriller 
5434,Patrick Fabian,144,3,Drama Horror Thriller 
5435,Sergey Garmash,144,33,Action Animation Family Fantasy Fiction Science Thriller 
5436,Steven Williams,144,6,Fantasy Horror Thriller 
5437,Emilio Rivera,144,4,Action Thriller War 
5438,Kevin Pollak,145,14,Action Adventure Comedy Crime Drama Fantasy Horror Mystery Thriller 
5439,Ronny Cox,145,0,Action Adventure Comedy Crime Fiction Science 
5440,Colleen Camp,145,2,Action Thriller 
5441,Rodger Bumpass,145,3,Adventure Animation Comedy Family 
5442,Peter Wight,145,2,Comedy Drama 
5443,Michael Parks,146,9,Action Comedy Horror Thriller 
5444,John Leguizamo,146,1,Action Adventure Animation Comedy Crime Drama Family Fantasy Fiction Horror Music Mystery Romance Science Thriller 
5445,Gerald McRaney,146,1,Adventure Comedy Crime Drama Family Fantasy Romance 
5446,Frances Fisher,146,5,Action Adventure Comedy Crime Drama Fiction History Mystery Romance Science Thriller 
5447,Jane Seymour,146,2,Action Adventure Animation Drama Family Fantasy Romance Thriller 
5448,Billy Dee-Williams,146,1,Action Adventure Comedy Crime Fiction Science Thriller 
5449,Reginald Owen,146,0,Music Romance 
5450,Joe Mantegna,146,1,Action Adventure Comedy Family 
5451,Alun Armstrong,147,6,Action Adventure Fantasy Fiction Romance Science Thriller 
5452,Armand Assante,147,4,Adventure Animation Comedy Crime Drama Family Fiction Horror Science Thriller 
5453,Randall Park,147,3,Action Comedy 
5454,Tim Bagley,147,0,Comedy Crime Fantasy Romance 
5455,Lacey Chabert,147,22,Horror Thriller 
5456,Nancy Cartwright,147,1,Animation Comedy Family 
5457,Paul McCartney,147,1,Comedy Music 
5458,Sid Haig,147,9,Horror 
5459,Bill Nighy,148,1,Action Adventure Animation Comedy Drama Family Fantasy Fiction History Horror Mystery Romance Science Thriller War Western 
5460,Frank C.-Turner,148,2,Action Fantasy Horror Thriller 
5461,Angie Dickinson,148,2,Action Crime Drama Horror Mystery Thriller 
5462,Edward Arnold,148,0,Action Comedy Drama Music Romance Western 
5463,Rod Steiger,148,1,Action Crime Drama History Romance Thriller War 
5464,Jeanne Moreau,148,1,Action Drama Thriller War 
5465,Cecil Kellaway,148,2,Adventure Fiction Horror Science 
5466,Herbert Knaup,148,14,Action Drama Thriller 
5467,Wilfried Hochholdinger,149,1,Action Adventure Fiction Science Thriller 
5468,Kevin McNally,149,0,Action Adventure Comedy Crime Fantasy Mystery Thriller 
5469,Harish Patel,149,0,Comedy Romance 
5470,William Forsythe,149,7,Action Comedy Crime Drama Fiction Mystery Science Thriller 
5471,Richard Schiff,149,1,Comedy Drama Family Fantasy 
5472,Bernard Lee,149,0,Action Adventure Thriller 
5473,Caroline Aaron,149,2,Comedy Drama 
5474,Jim Carter,149,4,Family Horror 
5475,Forrest Tucker,149,2,Action Drama History War 
5476,James Franco,150,1,Action Adventure Animation Comedy Crime Drama Family Fantasy Fiction History Mystery Romance Science Thriller War 
5477,Luis Guzmán,150,13,Action Adventure Animation Comedy Crime Drama Family Fiction Mystery Romance Science Thriller 
5478,Pat O\u2019Brien,150,4,Comedy Romance 
5479,Adrienne Barbeau,150,1,Comedy Fantasy Horror 
5480,Veronica Cartwright,150,3,Action Fiction Horror Science Thriller 
5481,Matt Walsh,150,2,Action Thriller 
5482,Loretta Devine,150,1,Horror Thriller 
5483,Mae Whitman,150,39,Adventure Animation Comedy Family Romance 
5484,Bruce Greenwood,151,28,Action Adventure Comedy Crime Drama Family Fiction Horror Mystery Romance Science Thriller 
5485,Charles Dance,151,3,Action Adventure Comedy Crime Drama Family Fantasy Fiction Horror Romance Science Thriller War 
5486,Akshay Kumar,151,56,Action Drama History Thriller 
5487,Joe Pantoliano,151,1,Action Adventure Comedy Crime Drama Family Fiction Mystery Romance Science Thriller 
5488,Robert Wagner,151,6,Adventure Comedy Crime Fiction Science 
5489,Rosanna Arquette,151,1,Comedy Crime 
5490,Burt Kwouk,152,0,Action Drama History 
5491,Irrfan Khan,152,48,Action Adventure Drama Fiction Romance Science Thriller 
5492,Brad Garrett,152,3,Animation Comedy Family Music Romance 
5493,Teri Garr,152,1,Adventure Comedy Drama Family Fiction Romance Science 
5494,Terry Kiser,152,0,Comedy Horror Thriller 
5495,Richard Roundtree,152,1,Action Adventure Crime Drama Fiction History Science War 
5496,Jack Black,153,2,Action Adventure Animation Comedy Crime Drama Family Horror Music Romance Thriller 
5497,Steven Berkoff,153,8,Action Adventure Romance Thriller War 
5498,Brian Doyle-Murray,153,3,Comedy Drama Fantasy Romance 
5499,Mark Boone-Junior,153,3,Horror Mystery Thriller 
5500,Roscoe Karns,153,0,Comedy Romance 
5501,Richard Bohringer,153,4,Action Thriller 
5502,Miriam Flynn,153,0,Comedy Drama Family Fantasy 
5503,Derek Jacobi,153,1,Action Fantasy Fiction Science Thriller 
5504,Sean Astin,154,1,Comedy Drama Romance 
5505,James Mason,154,3,Adventure Drama Fiction Romance Science 
5506,Héctor Elizondo,154,1,Action Comedy Crime Drama Family Romance Thriller 
5507,Kurtwood Smith,154,5,Action Adventure Fiction Science Thriller War 
5508,Andr\u00e9 Dussollier,154,13,Action Comedy Crime 
5509,Bessie Love,154,1,Drama Music Romance 
5510,Janeane Garofalo,154,2,Comedy Drama Romance 
5511,Ray Walston,155,2,Action Comedy Crime Drama Music Romance Western 
5512,Patrick Stewart,155,3,Action Adventure Animation Comedy Drama Family Fiction Music Mystery Science Thriller 
5513,Jim Belushi,155,1,Animation Comedy Drama Family Music Romance 
5514,Robert Patrick,155,7,Action Adventure Comedy Crime Drama Family Fiction Music Mystery Romance Science Thriller War 
5515,E.G. Marshall,155,1,Action Adventure Drama History War 
5516,Peter Sallis,156,1,Adventure Animation Comedy Family 
5517,Colm Feore,156,17,Action Adventure Comedy Crime Drama Fantasy Fiction Mystery Romance Science Thriller 
5518,Obba Babatundé,156,1,Comedy 
5519,Sean McCann,156,6,Drama History 
5520,Murray Hamilton,157,0,Action Adventure Comedy Horror Thriller 
5521,Bryan Cranston,157,1,Action Adventure Animation Comedy Crime Drama Family History Romance Thriller War 
5522,José Calvo,157,1,Western 
5523,Harry Carey-Jr.,157,4,Western 
5524,Harvey Keitel,158,1,Action Crime Drama Horror Romance Thriller War 
5525,Mami Koyama,158,0,Animation Fiction Science 
5526,Peter Coyote,158,1,Adventure Comedy Crime Drama Family Fantasy Fiction Romance Science Thriller 
5527,Carmen Maura,158,67,Comedy Drama Romance 
5528,Kevin Corrigan,158,9,Action Thriller 
5529,Peter Mark-Richman,158,0,Horror Thriller 
5530,Mark Margolis,158,1,Adventure Drama Fiction Romance Science 
5531,Bruce McGill,159,5,Action Comedy Crime Drama Fantasy Fiction Mystery Romance Science Thriller 
5532,James Whitmore,159,2,Horror Mystery Thriller 
5533,Robert Davi,159,9,Action Adventure Comedy Drama Fantasy Thriller 
5534,Vera Miles,159,2,Drama Horror Thriller Western 
5535,Doris Roberts,159,5,Adventure Comedy Family Fantasy Fiction Science 
5536,Curtis Armstrong,160,5,Drama 
5537,Jim Broadbent,160,1,Action Adventure Animation Comedy Crime Drama Family Fiction History Music Romance Science 
5538,George Buck-Flower,160,0,Action Fiction Horror Science Thriller 
5539,Shelley Winters,160,2,Drama Romance 
5540,John Goodman,160,1,Action Adventure Animation Comedy Crime Drama Family Fantasy Fiction History Horror Mystery Romance Science Thriller War 
5541,Ellen Burstyn,160,1,Adventure Crime Drama Fantasy Fiction History Horror Romance Science Thriller 
5542,John Billingsley,160,0,Crime Drama Thriller 
5543,Rita Moreno,160,1,Crime Drama Music 
5544,Vincent Schiavelli,160,0,Drama Fantasy Mystery Romance Thriller 
5545,Susan Sarandon,161,1,Action Comedy Crime Drama Family Fantasy Fiction History Mystery Romance Science Thriller 
5546,Maury Chaykin,161,13,Action Adventure Crime Drama Mystery Romance 
5547,Graham Greene,161,1,Action Adventure Drama Thriller Western 
5548,Geraldine Chaplin,161,3,Drama Romance War 
5549,Carol Kane,161,1,Comedy Drama Romance 
5550,Mako Iwamatsu,161,1,Action Adventure Fantasy 
5551,Mako ,161,1,Action Adventure Animation Comedy Family Fantasy Fiction Science 
5552,Mako,161,1,Action Adventure Animation Comedy Drama Family Fantasy Fiction History Science 
5553,Danny Mann,161,1,Comedy Drama Family Fantasy 
5554,Roddy Piper,162,4,Action Fiction Horror Science Thriller 
5555,Steve Buscemi,162,1,Action Adventure Animation Comedy Crime Drama Family Fantasy Fiction Mystery Romance Science Thriller 
5556,Denholm Elliott,162,1,Action Adventure Comedy Drama Romance 
5557,Robert Blake,162,1,Action Comedy Crime Drama 
5558,Andrea Martin,162,2,Comedy Drama Romance 
5559,Steven Weber,162,4,Drama Romance 
5560,Walter Catlett,162,1,Animation Family 
5561,L.Q. Jones,162,5,Action Comedy Western 
5562,Wendie Malick,163,1,Adventure Animation Comedy Family Fantasy 
5563,Robert Englund,163,9,Comedy Fantasy Horror Mystery Thriller 
5564,Mackenzie Gray,163,19,Music 
5565,Charles Bronson,163,1,Adventure Drama History Thriller War Western 
5566,Burt Young,164,1,Action Drama 
5567,Jeff Fahey,164,4,Fiction Horror Science Thriller 
5568,Max von-Sydow,164,2,Action Adventure Comedy Crime Drama Fantasy Fiction History Horror Mystery Romance Science Thriller 
5569,David Paymer,164,1,Action Comedy Crime Drama Horror Romance Thriller 
5570,Michael York,164,1,Action Adventure Comedy Crime Fiction Romance Science 
5571,Billy Zane,164,7,Action Adventure Drama Romance Thriller 
5572,Andy Dick,164,6,Animation Comedy Family Fantasy Fiction Romance Science 
5573,James Gleason,164,1,Drama Romance War 
5574,Joseph Ruskin,164,1,Action Comedy Crime Thriller 
5575,Harry Shearer,164,1,Comedy Drama 
5576,Jack Warden,164,2,Drama 
5577,Jack Kehler,165,2,Comedy Drama Romance 
5578,David Ogden-Stiers,165,3,Adventure Animation Drama Family Romance 
5579,Clu Gulager,165,3,Comedy Horror 
5580,John Ratzenberger,165,2,Animation Family 
5581,Jean-Pierre Aumont,165,1,Drama Romance 
5582,Mike Mazurki,165,0,Adventure Comedy Romance 
5583,Clarence Muse,165,0,Adventure Family 
5584,John Cleese,166,1,Adventure Comedy Drama Family Fantasy Fiction Science Thriller 
5585,Ned Beatty,166,1,Action Adventure Animation Comedy Family Fantasy Fiction Science Western 
5586,Paul Ben-Victor,166,0,Action Adventure Thriller 
5587,Giancarlo Giannini,166,1,Action Adventure Crime Thriller 
5588,Johan Leysen,166,6,Crime Drama Thriller 
5589,Stephen Fry,167,1,Action Adventure Family Fantasy Thriller 
5590,Doug Jones,167,31,Adventure Drama Fantasy Fiction Horror Science War 
5591,Donald Crisp,167,1,Drama 
5592,Mike Pniewski,167,0,Romance 
5593,Wilfrid Hyde-White,167,1,Drama Family Music Romance 
5594,Martin Semmelrogge,168,0,Action Adventure Drama History War 
5595,Tom Skerritt,168,2,Action Crime Drama Fiction Horror Mystery Romance Science Thriller War 
5596,Gabriele Ferzetti,168,6,Action Adventure Thriller Western 
5597,Sam Anderson,168,1,Horror 
5598,Paul Sorvino,168,18,Comedy Crime Drama Romance 
5599,Ronald Lacey,168,0,Action Adventure Fiction Science Thriller 
5600,Dean Cain,168,10,Crime Drama Thriller 
5601,Traci Lords,168,12,Comedy Crime Horror Thriller 
