Index,Actors,Number of movies,Number of awards,Genres
1692,Caleb Landry-Jones,34,9,Drama Horror Thriller 
1693,Warren Beatty,34,1,Action Adventure Comedy Crime Drama History Romance Thriller 
1694,Cara Seymour,34,5,Comedy Crime Drama Romance 
1695,Eric Dane,34,6,Comedy Drama Family Romance 
1696,Ashton Holmes,34,1,Crime Drama Thriller 
1697,Emma Rigby,34,5,Drama Romance 
1698,Tch\u00e9ky Karyo,34,0,Action Adventure Comedy Crime Drama Fiction History Science Thriller War 
1699,Song Kang-ho,34,64,Action Drama Fiction Horror Science 
1700,Adam Garcia,34,0,Comedy Drama Romance 
1701,Jon Stewart,34,22,Comedy Drama 
1702,Melanie Brown,34,8,Adventure Comedy Drama Fantasy Music 
1703,Diego Boneta,34,3,Comedy Drama Music Romance 
1704,Stephanie Szostak,34,1,Action Comedy Crime Fantasy 
1705,Tyler Hoechlin,34,13,Crime Drama Thriller 
1706,Akiko Wakabayashi,34,0,Action Adventure Thriller 
1707,Alessandro Preziosi,34,6,Comedy Drama Romance 
1708,Ferran Terraza,34,0,Horror Mystery Thriller 
1709,Kiersey Clemons,34,5,Comedy Crime Drama 
1710,Jake McDorman,34,0,Comedy Family Fantasy Romance 
1711,Malcolm David-Kelley,34,8,Drama Romance 
1712,Yury Tsykun,34,0,Drama Romance 
1713,Ryan Donowho,34,3,Drama Romance 
1714,Yaya DaCosta,34,7,Action Adventure Fiction Music Science 
1715,Mary Elizabeth-Mastrantonio,34,1,Action Adventure Crime Drama Fiction Science Thriller 
1716,Enrique Murciano,34,4,Drama Romance 
1717,Bijou Phillips,34,1,Horror 
1718,Alex Thomas,34,1,Comedy 
1719,Liam McIntyre,34,1,Action Adventure 
1720,Finn Carter,34,1,Action Horror 
1721,Tatum O'Neal,34,1,Comedy Family 
1722,Alexander Gould,34,6,Animation Family 
1723,Leigh Whannell,34,14,Drama Horror Thriller 
1724,Kylie Rogers,34,2,Drama 
1725,Rawiri Paratene,34,2,Drama Family 
1726,Loren Dean,34,1,Comedy Drama Romance 
1727,Audrey Hepburn,34,1,Drama Family Music Romance 
1728,Jake Abel,35,2,Action Adventure Family Fantasy Fiction Romance Science Thriller 
1729,Ginnifer Goodwin,35,18,Comedy Drama Music Romance 
1730,Jean Seberg,35,1,Action Comedy Drama Music Western 
